Mandarin	Vietnamese
帕劳时间	Giờ Palau
巴基斯坦夏令时间	Giờ Mùa Hè Pakistan
乙烯	êtilen
玻璃	thuỷ tinh
𥯪	trấu
倦	quyện
优美	nhã
飘逸	nhã
三角洲	châu thổ
得尔塔	châu thổ
動作	hành động
诺贝尔化学奖	Những người đoạt giải Nobel Hóa học
使	sứ
中华人民共和国历史	Lịch sử Cộng hòa Nhân dân Trung Hoa
强奸	cưỡng dâm
强暴	cưỡng dâm
盛	thịnh
盗	đạo
呐	nói
外国的	lạ
外国	ngoại quốc
外国	nước ngoài
非洲	Châu Phi
家	gia
容	dung
容	dung
塞纳河畔纳伊	Neuilly-sur-Seine
BSD	BSD
独联体	Cộng đồng các Quốc gia Độc lập
独立国家联合体	Cộng đồng các Quốc gia Độc lập
后退	tua lại
咖啡屋	tiệm cà phê
咖啡屋	quán cà phê
咖啡店	tiệm cà phê
咖啡店	quán cà phê
咖啡馆	tiệm cà phê
咖啡馆	quán cà phê
喷嚏	nhảy mui
嚏喷	nhảy mui
打喷嚏	nhảy mui
打嚏喷	nhảy mui
阿嚏	nhảy mui
圣经	Kinh Thánh
麦芽	mạch nha
啤酒	bia
啤酒	rượu bia
麦酒	bia
麦酒	rượu bia
马德望	Battambang
停	đình
吐	thổ
吣	thổ
呕吐	thổ
唚	thổ
嗀	thổ
衉	thổ
太平天国	Thái Bình Thiên Quốc
哈萨克斯坦东部时间	Giờ Miền Đông Kazakhstan
日本夏令时间	Giờ Mùa Hè Nhật Bản
马里乌斯·特雷索尔	Marius Trésor
蓝宝石	xa-phia
宁夏回族自治区	Ninh Hạ
切罗基文	Chữ Cherokee
色斯文	Chữ Cirth
卡里亚文	Chữ Caria
布吉文	Chữ Bugin
克普特文	Chữ Coptic
塞浦路斯文	Chứ Síp
莱茵河	Rhine
犬科	họ chó
斯威士兰	Swaziland
叙利亚	Syria
荷属圣马丁	Sint Maarten
萨尔瓦多	El Salvador
圣多美和普林西比	São Tomé và Príncipe
南苏丹	Nam Sudan
苏里南	Suriname
索马里	Somali
塞内加尔	Senegal
圣马力诺	San Marino
崔	thôi
安培	ampe
国际语	Interlingua
国际歌	Quốc tế ca
红海	biển Đỏ
佛得角	Cape Verde
克利珀顿岛	Đảo Clipperton
米南卡保文	Tiếng Minangkabau
巴士底狱	Bastille
乳罩	cái nịt ngực
乳罩	cái xú chiên
奶罩	cái nịt ngực
奶罩	cái xú chiên
胸罩	cái nịt ngực
胸罩	cái xú chiên
UIQ	UIQ
安卡拉	Ankara
反物质	phản vật chất
摩霍克文	Tiếng Mohawk
诊断	Chẩn đoán
上加龙省	Haute-Garonne
含	hàm
听	thính
含	hàm
盾牌座	Thuẫn Bài
专业印刷	in thương mại
船尾座	Thuyền Vĩ
卐	chữ Vạn
卍	chữ Vạn
卍字	chữ Vạn
卐字	chữ Vạn
罗纳-阿尔卑斯	Rhône-Alpes
语言	ngôn ngữ
语言	tiếng
语言	tiếng nói
我	tôi
阿尔卑斯山	Alps
談天	trò chuyện
图表区域	khu vực sơ đồ
充满	đầy đủ
满	đầy đủ
逃	đào
胰脏	tụy
胰腺	tụy
薄煎饼	bánh tráng
薄烤饼	bánh tráng
梅县	Mai huyện
三皇五帝	Tam Hoàng Ngũ Đế
征彸	sợ hãi
怔忪	sợ hãi
悚	sợ hãi
惊恐	sợ hãi
惊慌	sợ hãi
惶	sợ hãi
惶恐	sợ hãi
惶遽	sợ hãi
觳	sợ hãi
贝尼托·墨索里尼	Benito Mussolini
暹罗	Xiêm
暹	Xiêm
沙鼠	chuột nhảy
捷克	Cộng hòa Séc
单车	xe đạp
脚踏车	xe đạp
自行车	xe đạp
教区	giáo xứ
奥斯卡最佳女配角奖	Giải Oscar cho nữ diễn viên phụ xuất sắc nhất
欧元 (WIR)	Đồng Euro WIR
瑞士法郎	Franc Thụy sĩ
瑞士法郎	Franc Thụy sĩ
南诏	Nam Chiếu
法郎 (WIR)	Đồng France WIR
苏西洛·班邦·尤多约诺	Susilo Bambang Yudhoyono
三	tam
市长	thị trưởng
苏必利尔湖	Hồ Superior
𢪷	múc
那洛六法	Na-lạc lục pháp
南极	Nam Cực
长江	Dương Tử
卢瓦尔省	Loire
幂	ngón tay trỏ
花道	ikebana
插花	ikebana
无知	sự thiếu hiểu biết
无知	sự dốt nát
协奏	công xéc tô
协奏	công-xéc-tô
协奏曲	công xéc tô
协奏曲	công-xéc-tô
安那托利亚象形文字	Chữ tượng hình Anatolia
格兰塔文	Chữ Grantha
BAD	BAD
欧洲联盟	Liên minh châu Âu
火灾	vụ cháy
火	vụ cháy
燕麦	yến mạch
杨·维梅尔	Johannes Vermeer
海里	hải lý
䣷	chua
豆豉	đậu đen
明清皇家陵寝	Lăng tẩm hoàng gia Minh-Thanh
𢲵	cào
包惜弱	Bao Tích Nhược
罗杰·米拉	Roger Milla
妈	mẹ
妈	uây khyếm mẹ
妈咪	mẹ
妈咪	uây khyếm mẹ
娘	mẹ
娘	uây khyếm mẹ
妈妈	mẹ
妈妈	uây khyếm mẹ
你好	xin chào
你好	chào
您好	xin chào
您好	chào
南非	Nam Phi
晚餐	bữa chiều
瑁	cười
瑁	mồi
双簧管	kèn ôboa
奥布省	Aube
拉什莫尔山	Núi Rushmore
温哥华	Vancouver
怀特霍斯	Whitehorse
埃德蒙顿	Edmonton
耶洛奈夫	Yellowknife
克雷斯顿	Creston
国歌	quốc ca
客户支持	hỗ trợ khách hàng
锕	actini
镤	protactini
钍	thori
钋	poloni
铋	bismut
铋	bitmut
钫	franxi
氡	rađơn
镎	neptuni
鐵	sắt
不便	bất tiện
不便	mất công
不方便	bất tiện
不方便	mất công
出土	đào
疏挖	đào
孚日圣迪耶	Saint-Dié-des-Vosges
和平条约	hòa bình
和约	hòa bình
附件	phụ kiện
辅助功能向导	Thuật sĩ truy nhập
辅助工具	hỗ trợ truy nhập
辅助功能	khả năng tiện lợi cho sử dụng
访问冲突	vi phạm truy nhập
节瓜	bí đao
冬瓜	bí đao
SSID	SSID
SSL	SSL (Giao thức bảo mật giữa máy chủ và khách)
2G	2G
阳性	giống đực
我叫金三顺	Tên tôi là Kim Sam Soon
餐车	toa ăn
餐厅	phòng ăn
饭厅	phòng ăn
通用磁盘格式	Dạng thức đĩa phổ quát
立陶宛国旗	Quốc kỳ Litva
产科学	sản khoa học
助产术	sản khoa học
唋	dứ
锗	gecmani
罂粟科	Họ Anh túc
老舍	Lão Xá
姊	chị
第三世界	Thế giới thứ ba
𥻧	hèm
香蒲科	Họ Hương bồ
美元（当日）	Đô la Mỹ (Cùng ngày)
骆驼	lạc đà
社会主义国家	Khối phía Đông
瓠	bầu
葫芦	bầu
织布机	khung cửi dệt vải
织机	khung cửi dệt vải
电脑语言	ngôn ngữ lập trình
程序设计语言	ngôn ngữ lập trình
程式语言	ngôn ngữ lập trình
编程语言	ngôn ngữ lập trình
机械语言	ngôn ngữ lập trình
电脑语言	ngôn ngữ lập trình
编程语言	ngôn ngữ lập trình
计算机语言	ngôn ngữ lập trình
越	việt
超	siêu
超	siêu
地址	địa chỉ
白雪	Bạch Tuyết
编织	đan
织	đan
織	đan
伦敦地铁	London Underground
一千	nghìn
十二	mười hai
机会	cơ hội
几何	hình học
几何学	hình học
商人	nhà buôn
郎	lang
郎	lang
周	chu
噤	gặm
祖国	tổ quốc
故乡	tổ quốc
清海	Thanh hải vô thượng sư
巴利语	Tiếng Pali
雪板	xki
雪板	ván trượt tuyết
滑雪板	xki
滑雪板	ván trượt tuyết
扦子	xiên
扦子	xiên nướng thịt
烤肉叉	xiên
烤肉叉	xiên nướng thịt
小腿	bắp chân
腓	bắp chân
底格里斯河	Tigris
莫斯科中央陆军足球俱乐部	CSKA Moskva
法国	Pháp
法兰西	Pháp
杏	lê
杏子	lê
卡塔纳	ca-ta-na
卡塔纳	katana
武士刀	ca-ta-na
武士刀	katana
日本刀	ca-ta-na
日本刀	katana
乃	nải
乃	nải
乃	nải
乃	nải
鹰	chim ưng
南沙群岛	quần đảo Trường Sa
黏土	sét
黏土	đất sét
打扫	lau
强力	chắc
佛教	Thiền tông
禅宗	Thiền tông
洋二仙草目	Bộ Dương nhị tiên
白桂皮科	Họ Bạch quế bì
平	bình
干	can
桑	tang
希腊大区	Phân cấp hành chính Hy Lạp
达卡	Dhaka
足	bàn chân
脚	bàn chân
三年困难时期	Nạn đói lớn ở Trung Quốc
固原市	Cố Nguyên
蠕虫	con giun
称重	cân
震中	tâm chấn
震中	chấn tâm
阿尔封斯·都德	Alphonse Daudet
代码页	trang mã
高俅	Cao Cầu
德意志非洲军团	Quân đoàn Phi Châu
部落	bộ tộc
部落	bộ lạc
部族	bộ tộc
部族	bộ lạc
保留	dử lại
预订	chuẩn bị
预订	dành riêng
常數	hằng
控制台树	cây điều khiển
滨海阿尔卑斯省	Alpes-Maritimes
葡萄	nho
隅	góc
角落	góc
旮旯	góc
拐角	góc
申根	Schengen
徐汇区	Từ Hối
火焰	ngọn lửa
越共	Việt cộng
切斯特·艾伦·阿瑟	Chester A. Arthur
格陵兰	Greenland
越南人	người Việt
越南人	người Việt Nam
马拉维	Malawi
奶酪	phó mát
乳饼	phó mát
干酪	phó mát
验证	việc làm hợp lệ
被子	mền
毛毯	mền
毯子	mền
火炉	lò
哑铃	quả tạ
保加利亚人	người Bun-ga-ri
画外音	lời thuyết minh
牧夫座	Mục Phu
约旦	Jordan
舍利弗	Xá-lợi-phất
瞻	chiêm
瞻	chiêm
竭	kiệt
邵阳市	Thiệu Dương
圣赫勒拿	St. Helena
阿曼	Oman
上午	SA
午夜	nửa đêm
下午	CH
凌晨	đêm
晚上	tối
量子力学	cơ học lượng tử
唐山市	Đường Sơn
十月	tháng mười
十月	tháng mười
UGS	UGS
舞	vũ
舜	thuấn
清醒	thức
清醒	thức dậy
醒着	thức
醒着	thức dậy
醒觉	thức
醒觉	thức dậy
圣诞老人	Ông già Nô-en
Nvu	Nvu
都	đô
法兰克福足球俱乐部	Eintracht Frankfurt
凝	ngưng
通常	bình thường
恋人	người yêu
爱人	người yêu
情人	người yêu
昆明	Côn Minh
绞木目	Garryales
鲁宾逊漂流记	Robinson Crusoe
多媒体	đa phương tiện
莱索托	Lesotho
庭院	sân
史进	Sử Tiến
厘米	phân
第一百	phân
屎	phân
肥料	phân
女	nữ
女	nữ
百分比	phân
分给	phân
明斯克	Minsk
爱沙尼亚	E-xtô-ni-a
爱沙尼亚	Estonia
欧元	euro
耶拿	Jena
青色	xanh lơ
捍	cản
永珍	Viêng Chăn
北海道	Hokkaidō
北海道	Hokkaido
北海道	Đảo Hokkaidō
北海道	Đảo Hokkaido
闽南语	tiếng Mân Nam
福建话	tiếng Mân Nam
福佬话	tiếng Mân Nam
晚饭	bữa ăn tối
合掌瓜	su su
香橼瓜	su su
佛手瓜	su su
佛手	su su
隼人瓜	su su
合手瓜	su su
锌	kẽm
铬	crom
氩	agon
钙	canxi
不	dù … hay
还是	dù … hay
胰岛素	insulin
刮	cạo
请慢用	chúc ngon miệng
请慢用	ăn ngon nhé
请慢用	ăn nào
慢慢吃	chúc ngon miệng
慢慢吃	ăn ngon nhé
慢慢吃	ăn nào
咖啡机	ấm đun cà phê
罗马尼亚语	Tiếng Ru-ma-ni
摩加迪休	Mogadishu
花菜	súp lơ
花菜	hoa lơ
花椰菜	súp lơ
花椰菜	hoa lơ
菜花	súp lơ
菜花	hoa lơ
商品	thương phẩm
圣马丁岛	St. Martin
泰国历史	Lịch sử Thái Lan
错误注入	tiêm lỗi
FAT32	FAT32
FAT	FAT
悬铃木科	Họ Tiêu huyền
矿物学	vật học
咏春拳	Vịnh Xuân Quyền
找	tìm
乍得湖	Hồ Tchad
仓颉	Thương Hiệt
塞茨瓦纳文	Tiếng Tswana
克林贡文	Tiếng Klingon
托克劳文	Tiếng Tokelau
重新	lại
又	lại
遍	lại
再	lại
布加勒斯特	Bucharest
施派尔	Speyer
糖蜜	rỉ đường
恰图兰卡	Trò chơi Saturanga
中午	chiều
以前	từng
有一次	từng
曾经	từng
再次	một lần nữa
再度	một lần nữa
一遍	một lần nữa
坦克	xe tăng
坦克车	xe tăng
中世纪	Trung Cổ
圣诞节快乐	chúc mừng Giáng sinh
咈	phớt
图特摩斯一世	Thutmosis I
总	luôn
总	mãi mãi
斯洛伐克	Slovakia
斧	rìu
欧洲	Châu Âu
物质	vật chất
奥林匹斯山	núi Olympus
独轮车	xe đạp một bánh
上周四	Thứ Năm tuần trước
鸚鹉	vẹt
鸚鵡	vẹt
中	trung
意大利	Ý
意大利	nước Ý
意大利	Ý Đại Lợi
意	Ý
工作	làm việc
尼罗河	Nin
湄公河	Mê Công
湄公河	Cửu Long
澜沧江	Mê Công
澜沧江	Cửu Long
多瑙河	Đa Nuýp
雅鲁藏布江	Brahmaputra
恒河	Hằng
幼发拉底河	Euphrates
庚子	Canh Tý
何晶	Ho Ching
伊凡娜·林奇	Evanna Lynch
俄罗斯	Liên bang Nga
衢州市	Cù Châu
班	ban
中国南方航空	Hãng hàng không Phương Nam Trung Quốc
胭	nhân
卷笔刀	cái gọt bút chì
卷笔刀	đồ chuốt viết chì
转笔刀	cái gọt bút chì
转笔刀	đồ chuốt viết chì
削铅笔机	cái gọt bút chì
削铅笔机	đồ chuốt viết chì
削笔刀	cái gọt bút chì
削笔刀	đồ chuốt viết chì
铅笔刨	cái gọt bút chì
铅笔刨	đồ chuốt viết chì
笔刨	cái gọt bút chì
笔刨	đồ chuốt viết chì
铅笔刀	cái gọt bút chì
铅笔刀	đồ chuốt viết chì
下午	CH
梭发那·富马亲王	Souvanna Phouma
拨号网络	nối mạng quay số
马来亚虎	Hổ Mã Lai
海西蒙古族藏族自治州	Hải Tây
微醉的	ngà ngà
微醉的	tàng tàng
有点醉	ngà ngà
有点醉	tàng tàng
燃料电池	Tế bào nhiên liệu
挭	gánh
打火机	bật lửa
XSLT	XSLT
勇气	can đảm
胆量	can đảm
笔记本	máy tính xách tay
笔记本	laptop
笔记本电脑	máy tính xách tay
笔记本电脑	laptop
笔电	máy tính xách tay
笔电	laptop
笔记型电脑	máy tính xách tay
笔记型电脑	laptop
手提电脑	máy tính xách tay
手提电脑	laptop
手提计算机	máy tính xách tay
手提计算机	laptop
雪与雪人	người tuyết
斯科普里	Skopje
通货膨胀	tăng giá
约旦	Jordan
岳飞	Nhạc Phi
地平线	chân trời
天边	chân trời
天际	chân trời
旧姓	tên thời con gái
本性	tên thời con gái
原姓	tên thời con gái
娘家姓	tên thời con gái
闺名	tên thời con gái
忿	phẫn
忿	phẫn
忽	hốt
忽	hốt
便携式计算机	máy tính xách tay PC
大型组织	tổ chức lớn
旧苏丹镑	Đồng Bảng Sudan (1957–1998)
RF	RF
RUR	RUR
ROL	ROL
Rs	Rs
阿萨神族	Aesir
蓝	màu xanh
蓝	xanh lam
蓝	xanh
烟台	Yên Đài
痔	bệnh trĩ
痔	trĩ
痔疮	bệnh trĩ
痔疮	trĩ
国际单位制	SI
让	trở
让	để
瓢虫	người hiền
瓢虫	nhu-nhược
瓢虫	người hiền
瓢虫	nhu-nhược
MS-DOS 操作系统	hệ điều hành MSDOS
MS-DOS	MS-DOS
马拉维	Malawi
法轮	Pháp luân
笣	vầu
笤	giậu
交配	sự giao cấu
性交	sự giao cấu
房事	sự giao cấu
裙子	váy
裙	váy
追逐	rượt
追逐	đuổi
奔逐	rượt
奔逐	đuổi
追	rượt
追	đuổi
逐	rượt
逐	đuổi
图波列夫	Tupolev
吉尔吉斯斯坦	Cư-rơ-gư-xtan
吉尔吉斯斯坦	Cư-rơ-gư-dơ-xtan
渡	đò
渡	đò
渠	cừ
中庭	sân
庭院	sân
院子	sân
纳什维尔	Nashville
槽	tàu
槽	tàu
槾	mận
布干维尔	Bougainville
莫尔兹比港	Port Moresby
塔希提	Tahiti
马克萨斯	Marquesas
诺亚·韦伯斯特	Noah Webster
茄目	Bộ Cà
辛丑	Tân Sửu
鲍	bào ngư
鲍鱼	bào ngư
墨西哥太平洋时间	Giờ Thái Bình Dương Mexico
日本国旗	Quốc kỳ Nhật Bản
货币	tiền tệ
货币	tiền tệ
纯品	bảng
波斯尼亚和黑塞哥维那	Bosna và Hercegovina
琼州海峡	Eo biển Quỳnh Châu
中国大陆的性服务业	Mua bán dâm ở Cộng hòa Nhân dân Trung Hoa
肛交	giao hợp hậu môn
肛交	tình dục hậu môn
10	giao hợp hậu môn
10	tình dục hậu môn
铸铁	gang
美式足球	bóng bầu dục
威廉·梅巴赫	Wilhelm Maybach
偶	ngẫu
星群	mảng sao
阿比让	Abidjan
和音	dây
弦	dây
安全收件人列表	Danh sách người nhận an toàn
超级英雄	siêu anh hùng
宅	căn hộ
住宅	căn hộ
寓所	căn hộ
订阅者访问号码	số truy cập của thuê bao
藤	đằng
㮈	nậy
痛苦	khổ
宝塔	chùa chiền
宝塔	chùa
塔	chùa chiền
塔	chùa
喜	hỉ
非政府组织	Tổ chức phi chính phủ
磷的同素异形体	phốt pho trắng
喝	hát
Windows 檔案總管	Window Explorer
太上皇	Thái thượng hoàng
马里亚纳海沟	Rãnh Mariana
乳清	nước sữa
浆	nước sữa
血清	nước sữa
等离子体	plasma
血浆	plasma
MLDonkey	MLDonkey
挣脱	ném
俄罗斯套娃	múp bê làm tổ
俄罗斯轮盘	cò quay Nga
俄罗斯化	Nga hóa
符号	ký hiệu
象征	tượng trưng
故宫	Tử Cấm Thành
汞	thuỷ
水银	thuỷ
保有	cầm
保留	cầm
留	cầm
MIDI	MIDI
卡纳塔克邦	Karnataka
泗水	Surabaya
古巴	Cuba
㧾	hốt
房地产	bất động sản
不动产	bất động sản
帕默尔	Palmer
索契	Sochi
小指	ngón tay út
小指	ngón út
小拇指	ngón tay út
小拇指	ngón út
尾指	ngón tay út
尾指	ngón út
南桥	chip cầu nam
反对教	Tin Lành
反罗宗	Tin Lành
誓反教	Tin Lành
基督新教	Tin Lành
抗罗宗	Tin Lành
新教	Tin Lành
更正教	Tin Lành
改新教	Tin Lành
抗议宗	Tin Lành
刚果共和国	Cộng hòa Congo
富农	cu-lắc
富农	phú nông
米格尔·德·塞万提斯	Miguel de Cervantes y Saavedra
利兹	Leeds
尚未	chưa
未	chưa
没有	chưa
宗喀语	tiếng Dzongkha
日本漫画	mạn họa
日本漫画	manga
漫画	mạn họa
漫画	manga
日本漫画	mạn họa
日本漫画	manga
漫画	mạn họa
漫画	manga
索	sách
素	tố
红色高棉	Khmer Đỏ
红色高棉	Khơme Đỏ
赤柬	Khmer Đỏ
赤柬	Khơme Đỏ
高棉文	tiếng Miên
高棉文	Khơ-Me
高棉文	Khmer
高棉语	tiếng Miên
高棉语	Khơ-Me
高棉语	Khmer
保山市	Bảo Sơn
铝	nhốm
宝贵	quý
宝贵	quý báu
鸭嘴兽	thú mỏ vịt
廾	trấp
擦拭	chùi
擦拭	lau sạch
擦拭	chùi sạch
擦拭	lau
抹	chùi
抹	lau sạch
抹	chùi sạch
抹	lau
擦	chùi
擦	lau sạch
擦	chùi sạch
擦	lau
拉链	khoá kéo
休息	nghĩ ngơi
傳遞狀態通知 (DSN)	thông báo tình trạng chuyển phát
传递队列	sự xếp hàng đợi phân phối
传递	chuyển giao
分隔符號	ký tự định ranh
绳	dây
链条	xích
工作	làm việc
作	làm
作	chế tạo
做	làm
做	chế tạo
捐赠	sự tặng
门	cửa
枚	rương
树干	rương
株	rương
植株	rương
生命	đời sống
生活	đời sống
瑙鲁	Nauru
锁骨	xương đòn
锁骨	xương quai xanh
日历助手	Bộ trợ giúp xếp Lịch
日历	Lịch
日历程序	chương trình lịch
阿曼	Oman
无神论	chủ nghĩa vô thần
田径	điền kinh
日本动画	anime
可怕	khủng khiếp
吓人	khủng khiếp
够呛	khủng khiếp
周慧敏	Châu Tuệ Mẫn
卢布	đồng rúp
版权所有	giữ toàn quyền
周三	thứ tư
星期三	thứ tư
礼拜三	thứ tư
出租汽车	xe tắc-xi
后门	hậu môn
后门	lỗ đít
尻门子	hậu môn
尻门子	lỗ đít
疘	hậu môn
疘	lỗ đít
肛	hậu môn
肛	lỗ đít
肛门	hậu môn
肛门	lỗ đít
惊奇	bất ngờ
华沙	Warszawa
唯	dõi
非洲	Châu Phi
南非荷兰语	tiếng Hà lan ở Kếp
