'ad		1. (pron) Connacht form of agat	alt-of connacht
1 Ríthe		1. (name) 1 Kings, the eleventh book of the Old Testament, and of the Tanakh	masculine topic-bible topic-books-of-the-bible
1 Samúéil		1. (name) 1 Samuel, the ninth book of the Old Testament of the Bible, and of the Tanakh	masculine topic-bible topic-books-of-the-bible
1 Teasalónaigh		1. (name) 1 Thessalonians, the thirteenth book of the New Testament of the Bible, the first epistle to the Thessalonians	masculine topic-bible topic-books-of-the-bible
1 Tiomóid		1. (name) 1 Timothy, the fifteenth book of the New Testament of the Bible, the first epistle to Timothy	masculine topic-bible topic-books-of-the-bible
1ú		1. (adj) 1st	first-person
2 Corantaigh		1. (name) 2 Corinthians, the second book of Corinthians and the eighth book in the New Testament of the Bible	masculine topic-bible topic-books-of-the-bible
2 Croinicí		1. (name) 2 Chronicles, the second of the two Books of Chronicles and the fourteenth book of the Old Testament of the Bible	masculine topic-bible topic-books-of-the-bible
2 Eoin		1. (name) 2 John, the twenty-fourth book of the New Testament of the Bible, the second epistle of John	masculine topic-bible topic-books-of-the-bible
2 Macabaeigh		1. (name) 2 Maccabees, the second book of Maccabees of the Old Testament Apocrypha	masculine topic-bible topic-books-of-the-bible
2 Peadar		1. (name) 2 Peter, the second epistle of Peter, the twenty-second book of the New Testament of the Bible	masculine topic-bible topic-books-of-the-bible
2 Ríthe		1. (name) 2 Kings, the twelfth book of the Old Testament, and of the Tanakh	masculine topic-bible topic-books-of-the-bible
2 Samúéil		1. (name) 2 Samuel, the tenth book of the Old Testament of the Bible, and of the Tanakh	masculine topic-bible topic-books-of-the-bible
2 Teasalónaigh		1. (name) 2 Thessalonians, the fourteenth book of the New Testament of the Bible, the second epistle to the Thessalonians	masculine topic-bible topic-books-of-the-bible
2 Tiomóid		1. (name) 2 Timothy, the sixteenth book of the New Testament of the Bible, the second epistle to Timothy	masculine topic-bible topic-books-of-the-bible
3 Eoin		1. (name) 3 John, the antepenultimate book of the New Testament of the Bible, the third epistle of John	masculine topic-bible topic-books-of-the-bible
3 Macabaeigh		1. (name) 3 Maccabees, the third book of Maccabees of the Old Testament Apocrypha	masculine topic-bible topic-books-of-the-bible
4 Macabaeigh		1. (name) 4 Maccabees, the fourth book of Maccabees of the Old Testament Apocrypha	masculine topic-bible topic-books-of-the-bible
7ain		1. (noun) abbreviation of seachtain<br />EXAMPLE: 2015 June 13, An Aimsir Láithreach Tweet @AimsirTG4 609781309246976000 TG4 via Twitter: We will have a dry week next week apart from showers in the west on Wednesday.<br />EXAMPLE: Bhi an clar sin agam gach maidin an 7ain seo caite ar mo bhalcoin i Mallorca! Foirfe 😀 😀 Faraoir ... ar ais ag obair i mBAC inniu gan e 🙁🙁<br />I had that program every morning last week on my balcony in Mallorca! Perfect 😀 😀 Sorry ... back to work in Dublin today without it 🙁🙁	abbreviation alt-of feminine internet
A		1. (character) The first letter of the Irish alphabet, written in the Latin script.	letter uppercase
AIF		1. (name) initialism of An Aibítir Idirnáisiúnta Foghraíochta (IPA)	abbreviation alt-of initialism
Ab		1. (name) Av, the eleventh month of the Jewish calendar.	judaism masculine topic-hebrew-calendar-months topic-judaism
Abcáis		1. (name) Abkhazia (a geographic region and de-facto independent but largely unrecognized country in the Caucasus on the border of Europe and Asia; considered part of Georgia's territory by the vast majority of the international community)	topic-abkhazia topic-geographic-and-cultural-areas-of-asia topic-geographic-and-cultural-areas-of-europe topic-geographic-and-cultural-areas-of-georgia topic-places-in-georgia topic-unrecognized-and-nearly-unrecognized-countries
Abcáiseach		1. (adj) Abkhaz, Abkhazian<br />2. (noun) Abkhaz, Abkhazian	masculine not-comparable
Abcáiseacha		1. (adj) nominative/vocative/dative/strong genitive plural of Abcáiseach (“Abkhaz, Abkhazian”)<br />2. (noun) vocative plural of Abcáiseach (“Abkhaz, Abkhazian”)	dative form-of genitive masculine nominative plural strong vocative
Abcáisigh		1. (adj) inflection of Abcáiseach (“Abkhaz, Abkhazian”):<br />2. (adj) vocative/genitive singular masculine<br />3. (adj) dative singular feminine<br />4. (noun) inflection of Abcáiseach (“Abkhaz, Abkhazian”):<br />5. (noun) vocative/genitive singular<br />6. (noun) nominative/dative plural	archaic dative feminine form-of masculine nominative plural singular
Abcáisis		1. (name) the Abkhaz language	feminine topic-languages
Abhainn San Labhrás		1. (name) Saint Lawrence River (a river in Canada)	masculine topic-places-in-canada topic-rivers-in-canada
Abrahám		1. (name) Abraham (biblical prophet)	masculine topic-biblical-characters
Abraon		1. (noun) obsolete form of Aibreán (“April”)	alt-of masculine obsolete
Abrám		1. (name) Abram (biblical character)	masculine topic-biblical-characters topic-individuals
Abrán		1. (noun) Munster form of Aibreán (“April”)	alt-of masculine munster topic-months
Abúise		1. (name) Abuja (the capital city of Nigeria)	feminine topic-abuja topic-cities-in-nigeria topic-national-capitals topic-places-in-nigeria
Acrapoil		1. (name) the Acropolis	topic-ancient-greece
Acrapolas		1. (name) the Acropolis	topic-ancient-greece
Adhamhnán		1. (name) Adamnan (Irish saint)<br />2. (name) a male given name from Old Irish	masculine
Adár		1. (name) Adar, the sixth month of the civil year in the Jewish calendar.	judaism masculine topic-hebrew-calendar-months topic-judaism
Aetóip		1. (name) Ethiopia (a country in East Africa)	topic-countries-in-africa topic-ethiopia
Aetóipe		1. (name) genitive of an Aetóip (“Ethiopia”)	form-of genitive
Aetópach		1. (adj) Ethiopian<br />2. (noun) Ethiopian	masculine not-comparable
Afganastáin		1. (name) Afghanistan (a landlocked country between Central Asia and South Asia)	topic-afghanistan topic-countries-in-asia
Afganastáine		1. (name) genitive of an Afganastáin (“Afghanistan”)	form-of genitive
Afganastánach		1. (adj) Afghan<br />2. (noun) Afghan person	masculine not-comparable
Afracach		1. (adj) African<br />2. (noun) African	masculine not-comparable
Afracach Theas		1. (adj) South African<br />2. (noun) South African	masculine not-comparable
Afracáinis		1. (name) the Afrikaans language	feminine topic-languages
Afracánach		1. (adj) Afrikaner<br />2. (noun) Afrikaner	masculine not-comparable
Afradaíté		1. (name) Aphrodite	feminine greek topic-greek-deities
Afraic		1. (name) Africa (the continent south of Europe and between the Atlantic and Indian Oceans)	topic-africa topic-continents-and-continental-regions
Afraic Theas		1. (name) South Africa (a country in Southern Africa)	topic-countries-in-africa topic-south-africa
Afraice		1. (name) genitive of An Afraic (“Africa”)	feminine form-of genitive singular
Afraice Theas		1. (name) genitive of an Afraic Theas (“South Africa”)	form-of genitive
Afraidíte		1. (name) alternative form of Afradaíté (“Aphrodite”)	alt-of alternative feminine
Afraidíté		1. (name) alternative form of Afradaíté (“Aphrodite”)	alt-of alternative feminine
Aibhilín		1. (name) a female given name from Old French, variant of Eibhlín, equivalent to English Evelyn	feminine
Aibisíneach		1. (adj) Abyssinian<br />2. (noun) Abyssinian	masculine not-comparable
Aibreáin		1. (noun) inflection of Aibreán (“April”):<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
Aibreán		1. (noun) April (fourth month of the Gregorian calendar)	masculine topic-calendar
Aibítir Idirnáisiúnta Foghraíochta		1. (name) the International Phonetic Alphabet (IPA)	topic-alphabets topic-linguistics topic-phonetics topic-phonology
Aidbhint		1. (name) Advent	feminine topic-christianity
Aifreann		1. (noun) Mass (liturgical service or the music for it)<br />EXAMPLE: An ndeachaigh tú ar Aifreann Dé Domhnaigh?: Did you go to Mass on Sunday?<br />EXAMPLE: Bhí sagart ar an altóir ⁊ d’fhiafruigh sé an robh an duine annsin a dhéanfadh Aifrionn a fhritheóladh.: There was a priest on the altar, and he asked if there was anybody there to serve Mass.	masculine topic-christianity
Aifreannach		1. (noun) Mass-goer	masculine topic-christianity topic-people
Aifreannacha		1. (noun) plural of Aifreann	cois-fharraige form-of masculine plural
Aifric		1. (name) a female given name	feminine
Aifrinn		1. (noun) inflection of Aifreann (“Mass”):<br />2. (noun) vocative/genitive singular<br />3. (noun) nominative/dative plural	dative form-of masculine nominative plural
Aifrionn		1. (noun) superseded spelling of Aifreann	alt-of archaic
Aigéan Antartach		1. (name) the Southern Ocean, the Antarctic Ocean	topic-oceans
Aigéan Artach		1. (name) the Arctic Ocean	topic-oceans
Aigéan Atlantach		1. (name) the Atlantic Ocean	topic-oceans
Aigéan Ciúin		1. (name) the Pacific Ocean	topic-oceans
Aigéan Indiach		1. (name) the Indian Ocean	topic-oceans
Aigéineach		1. (adj) Oceanian<br />2. (noun) Oceanian	masculine not-comparable
Ailbín		1. (name) a male given name from Latin, equivalent to English Albin<br />2. (name) St. Albin	masculine topic-christianity
Ailgéarach		1. (adj) Algerian<br />2. (noun) Algerian	masculine not-comparable
Ailgéir		1. (name) Algeria (a country in North Africa; official name: Daon-Phoblacht Dhaonlathach na hAilgéire)	topic-algeria topic-countries-in-africa
Ailgéire		1. (name) genitive of an Ailgéir (“Algeria”)	form-of genitive
Ainchríost		1. (name) Antichrist	masculine topic-christianity
Aindriais		1. (name) vocative/genitive singular of Aindrias	
Aindrias		1. (name) Andrew (first Apostle in the New Testament)<br />2. (name) a male given name from Ancient Greek, equivalent to English Andrew	masculine topic-biblical-characters
Aindriú		1. (name) a male given name from Ancient Greek, equivalent to English Andrew	masculine
Aindéis		1. (name) Andes	topic-mountains
Aindéiseach		1. (adj) Andean<br />2. (noun) Andean	masculine not-comparable
Ainseilm		1. (name) a male given name, equivalent to English Anselm	masculine
Aintillíoch		1. (adj) Antillean<br />2. (noun) Antillean	masculine
Aircéach		1. (adj) Archaean	not-comparable topic-geology
Aircéacha		1. (adj) nominative/vocative/dative/strong genitive plural of Aircéach (“Archaean”)	dative form-of genitive nominative plural strong vocative
Aircéiche		1. (adj) genitive feminine singular of Aircéach (“Archaean”)	feminine form-of genitive singular
Airgintín		1. (name) Argentina (a country in South America; official name: Poblacht na hAirgintíne)	topic-argentina topic-countries-in-south-america
Airgintíne		1. (name) genitive of an Airgintín (“Argentina”)	form-of genitive
Airgintíneach		1. (adj) Argentinian, Argentine<br />2. (noun) Argentinian, Argentine	masculine
Airméanach		1. (adj) Armenian<br />2. (noun) Armenian	masculine not-comparable
Airméin		1. (name) Armenia (a country in the South Caucasus region of Asia, sometimes considered to belong politically to Europe; official name: Poblacht na hAirméine)	topic-armenia topic-countries-in-asia topic-countries-in-europe
Airméine		1. (name) genitive of an Airméin (“Armenia”)	form-of genitive
Airméinis		1. (name) the Armenian language	feminine topic-languages
Airéas		1. (name) Ares	greek masculine topic-greek-deities
Airéis		1. (name) alternative spelling of Airéas	alt-of alternative masculine
Aisiria		1. (name) Assyria (an ancient Semitic Akkadian kingdom and at times an empire, extant from the mid-23rd century BCE to 608 BCE and centred on the Upper Tigris river in northern Mesopotamia (present day northern Iraq, but at its maximum extent including parts of modern Iran, Syria, Israel, Palestine and Egypt))	historical topic-ancient-near-east topic-assyria topic-former-polities topic-places-in-egypt topic-places-in-iran topic-places-in-iraq topic-places-in-israel topic-places-in-palestine topic-places-in-syria
Aisiriach		1. (adj) Assyrian<br />2. (noun) Assyrian	masculine not-comparable
Aisling		1. (name) a female given name	feminine
Aithin		1. (name) Athens (the capital city of Greece)	topic-athens topic-cities-in-greece topic-national-capitals topic-places-in-greece
Aithne		1. (name) genitive of an Aithin (“Athens”)	form-of genitive
Aithneach		1. (adj) Athenian<br />2. (noun) Athenian	masculine not-comparable
Aitéiné		1. (name) Athena	feminine greek topic-greek-deities
Aivéistis		1. (name) Avestan (language)	feminine topic-languages
Alasca		1. (name) Alaska (a state of the United States, formerly a territory)	masculine topic-alaska,-usa topic-places-in-the-united-states topic-states-of-the-united-states
Alasca bácáilte		1. (noun) baked Alaska	masculine topic-desserts
Alascach		1. (adj) Alaskan<br />2. (noun) Alaskan	masculine not-comparable
